artist_id,name,shows,musicals
2507,任真慧,81,3
106,许乐,80,4
3212,周艺聪,80,2
3333,李劲楠,80,1
3608,孙喆,80,2
18,朱梓溶,78,2
1264,许越,78,1
1669,王艺鸥,78,2
2487,谭淳之,78,2
3408,徐梓桓,78,1
3413,王一安,78,1
3551,魏子杰,77,1
2163,刘泉君,76,4
2439,陈熙,76,2
3129,赵海宇,76,2
1412,袁岱,75,3
1549,沈道灵,75,1
1550,汪晓宇,75,1
2397,洪培文,75,3
2480,郭格羽,75,2
2907,张潇寒,75,1
4043,钱琪超,75,3
3231,蔡松廷,74,2
2404,张殿宇,73,1
500,田依凡,72,3
830,孙敬贤,72,2
1651,林梦艾,72,2
1666,杨舒妍,72,3
1709,黄恩茹,72,2
1755,叶秋,72,1
1771,赵磊,72,2
3339,陶诗佳,72,1
3478,王禹皓,72,1
1593,许智淇,70,2
2642,李佳璐,70,1
3401,俞嘉悦,70,2
3625,王千荥,70,2
3682,黄建豪,70,1
32,杨陈秀一,69,1
2011,梁朋杰,69,3
3175,王星雨,69,3
3491,沈俊池,69,3
1656,陈炅明,68,2
2403,黄爽,68,1
3700,雕雕,68,2
3889,龚五岳,68,2
3470,陈玥融,67,1
3556,宋翔宇,67,1
273,丁汀,66,3
1647,徐晞城,66,2
2305,矫子奕,66,3
2423,王晟熙,66,3
2485,蒋一达,66,3
3225,方凌,66,3
3498,陈伟,66,3
3583,张智成,66,3
3620,杨冰冰,66,2
1726,张亚茜,65,1
3297,方敬萱,65,1
2445,杜恒,64,1
3609,孙路悦,64,2
619,李明屿,63,3
817,王烨,63,3
1744,徐晶晶,63,3
1753,王杨,63,3
3183,谭薇,63,3
3574,肖恺翀,63,3
1746,何杉,62,2
2208,王一哲,62,2
2672,王帅,62,2
2674,邝丹洁,62,2
3172,王珂,62,2
3414,王煜菡,62,1
3628,陈希,62,1
1551,刘贺,61,1
893,何郝熙,60,2
1254,谭维维,60,3
1729,杨佐夫,60,1
1902,张心心,60,4
2162,张忆亚,60,2
2281,张金鑫,60,2
2631,赵越,60,2
3746,杨钊,60,2
3883,李星葆,60,2
4045,张佑臣,60,2
3476,林凡靖,59,1
1326,胡洁,58,2
2405,耿凡茜,58,2
3412,王文轩,58,1
4042,乐宸,58,2
549,蔡鹏,57,3
1414,刘泽蓬,57,1
1502,黄子弘凡,57,3
1661,段霁洛,57,1
2029,王尊强,57,3
2147,许环亚,57,2
2149,刘依萍,57,2
3257,许佳露,57,3
3440,段淑曦,57,3
189,陈治佐,56,3
1712,陈梓豪,56,2
2401,陈臻,56,1
3184,蔡鹏飞,56,2
3228,尔江,56,2
3597,陈万鑫,56,2
4021,庄宇豪,56,2
1407,金天泽,55,1
2895,李培智,55,1
2935,王雨,55,1
1701,曹嘉月,54,3
1848,高艺菲,54,2
2441,黄冠菘,54,1
2481,马学帅,54,1
2570,刘玥岑,54,1
3087,赵国砚,54,3
3254,马赫,54,1
3627,翟锦文,54,1
766,柏宇豪,53,1
3477,言佳航,53,1
708,苏诗丁,52,2
1926,谢金格,52,4
2444,赵子璇,52,1
3489,杨优优,52,2
138,单冠朝,51,3
872,张导正,51,1
2506,毛迪,51,3
3548,梁豫,51,1
3855,秦雨晨,51,3
874,左慈婧,50,1
939,谢一溦,50,1
2054,王晶,50,2
2768,李想,50,2
2875,陈津伟,50,2
3150,高玉中,50,2
3550,潘温劼,50,1
3896,乔宇,50,2
2442,左雅,49,1
2443,徐铭聪,49,1
3683,赵星尧,49,1
1505,王浩然,48,2
2008,王梓,48,1
2452,罗晓筱,48,3
3011,刘畅,48,2
3077,杨子言,48,3
3186,李彤,48,2
3381,杨茗滟,48,2
3541,徐宇诸,48,1
3626,林丹妮,48,1
3543,胡泽宇,47,1
827,邓泽镐,46,2
871,凌梦,46,1
1250,曹蕊,46,2
2042,谭睿蕾,46,2
2143,马尚之,46,2
2490,金池,46,2
2636,千悦,46,1
3113,杨烁,46,2
3552,闫雨晨,46,1
4067,杨景予,46,2
1581,邱椿博,45,1
3681,陈奕蓉,45,1
3712,陈辰,45,1
3713,王阳,45,1
4077,欧阳嘉文,45,3
630,崔欣仪,44,2
1398,孙天宇,44,2
2096,卢天,44,2
2105,罗唯豪,44,2
2111,陈昊宇,44,2
3438,张思宇,44,2
3512,袁浩杨,44,2
276,覃子瑄,42,1
672,文邺辰,42,3
891,孟璐,42,3
1090,高瑞杰,42,1
2030,王璀璇,42,2
2407,吴哲晗,42,2
3112,董研峰,42,2
3680,陈雨朦,42,1
1705,娄艺潇,41,1
2178,项倩,41,1
3554,林驿珊,41,1
3715,刘政昀,41,1
234,张睿姝,40,2
1648,陈铉之,40,2
2363,蒋佳君,40,2
3329,王君睿,40,1
3629,罗卓雯,40,1
4062,陈麒好,40,4
2018,江珊,39,3
3439,洛朗·班,39,1
176,张珑腾,38,2
669,蔡润基,38,2
745,刘思维,38,2
1688,李泓辰,38,2
1850,唐一可,38,1
3340,丁诗馨,38,1
3341,周启光,38,1
3417,雷云枫,38,1
3691,李岩,38,2
4214,马安澜,38,2
4220,周子禹,38,1
4322,常金成,38,2
3546,张筱彤,37,1
3714,许漫,37,1
1260,徐梦丹,36,1
2027,刘柏辰,36,2
2402,谢雨,36,1
2814,孔奕懿,36,1
3152,谢华杰,36,2
3256,谭茜,36,2
3390,郭晨晨,36,2
3463,于金石,36,3
3701,梁弘宇,36,1
3808,田宇航,36,3
3857,张璐,36,3
4065,王韬翔,36,2
4313,李泓言,36,2
765,李雨鈊,35,1
1168,缪银海,35,1
3250,王东超,35,1
3406,胡优,35,1
1653,王冠华,34,1
1654,王奕,34,1
1657,高有顺,34,1
1660,朱凯龙,34,1
1772,黄炜帆,34,2
2112,黄龄,34,2
2137,张延上茗,34,1
2569,王禹桐,34,1
2621,陈洁仪,34,1
2656,蔡鼎延,34,1
3111,雷伟峰,34,2
3216,张雨桐,34,1
3241,金谦逊,34,1
3448,李楼,34,1
3676,王艺臻,34,2
4052,葛瑞辰,34,2
1512,文嫣,33,1
2587,张可盈,33,3
3252,宋奕彤,33,1
3706,聂嶢欣,33,1
3711,柏瀚,33,1
1795,薛佳凝,32,1
2070,魏瑾,32,2
2139,李佳颖,32,1
2630,薛昱,32,1
2870,陈诺,32,2
3236,张梁栋,32,2
3245,吴迪,32,1
3316,孙震林,32,2
3332,李浩延,32,1
3409,王子葳,32,1
3555,张杨皓宇,32,1
3603,杨乐怡,32,2
1076,张嘉宇,31,1
2889,李莎旻子,31,1
2995,王腊,31,1
3704,徐贤雅,31,1
3725,孙天姿,31,1
433,石钰铎,30,2
873,王靖涵,30,1
2362,罗月宁,30,1
2426,曾涌麟,30,1
2508,熊泽宇,30,1
2951,刘俊泽,30,2
3168,王天一,30,3
3458,孙千竣,30,2
3545,刘汶炎,30,1
3859,刘栖子,30,2
4380,黄珈鹤,30,2
